gt_secs,gt_nsecs,gt_position_x,gt_position_y,gt_position_z,gt_orientation_x,gt_orientation_y,gt_orientation_z,gt_orientation_w
1728935222,112827204,0.0016538534546270967,0.03902865946292877,0.09377473592758179,-0.008188748732209206,-0.010306386277079582,0.6810962557792664,0.732075572013855
1728935222,122868681,0.002365486230701208,0.03896878659725189,0.09309331327676773,-0.005868994630873203,-0.0169682614505291,0.6859815120697021,0.7273975610733032
1728935222,133060600,0.0022440108004957438,0.03909573704004288,0.09312993288040161,-0.006164800841361284,-0.016791729256510735,0.6860194802284241,0.7273632287979126
1728935222,142737989,0.0015347299631685019,0.039016738533973694,0.09385494887828827,-0.007698723580688238,-0.008371718227863312,0.68034428358078,0.7328044176101685
1728935222,152974062,0.0016591200837865472,0.03899212181568146,0.09369487315416336,-0.007400883827358484,-0.011032412759959698,0.6817524433135986,0.7314623594284058
1728935222,163337191,0.0016884556971490383,0.0390106663107872,0.09370546042919159,-0.00763020571321249,-0.00983639620244503,0.6808741688728333,0.7322945594787598
1728935222,173612895,0.002034889766946435,0.03891333192586899,0.09355326741933823,-0.0039337873458862305,-0.01608107052743435,0.6846886873245239,0.7286475300788879
1728935222,183219486,0.002373290481045842,0.03908074274659157,0.09307890385389328,-0.0022650263272225857,-0.016744166612625122,0.6859849691390991,0.7274194359779358
1728935222,193424400,0.002106862608343363,0.03910492733120918,0.09337922185659409,-0.00536371162161231,-0.014803496189415455,0.6843468546867371,0.7289866209030151
1728935222,203202380,0.0020334580913186073,0.03902145475149155,0.09329665452241898,-0.005313124507665634,-0.01632143370807171,0.6848523616790771,0.7284796833992004
1728935222,215411616,0.001716211554594338,0.03897426277399063,0.09376437962055206,-0.006792584899812937,-0.011359729804098606,0.6815626621246338,0.7316399812698364
1728935222,227568063,0.0016473997384309769,0.039019640535116196,0.09368563443422318,-0.008123979903757572,-0.008466433733701706,0.6806877255439758,0.7324797511100769
1728935222,233517600,0.0014232124667614698,0.03896273672580719,0.09385737031698227,-0.008039345033466816,-0.008858752436935902,0.6803438663482666,0.7327955365180969
1728935222,242979721,0.002105267718434334,0.03906868398189545,0.09320526570081711,-0.004687825217843056,-0.015189683064818382,0.6849598288536072,0.7284074425697327
1728935222,253171868,0.002088707173243165,0.039037905633449554,0.0931776687502861,-0.00447797728702426,-0.01739710383117199,0.6856706738471985,0.7276902198791504
1728935222,262849926,0.002171955304220319,0.03911673277616501,0.09321680665016174,-0.0045828004367649555,-0.014250277541577816,0.6848915219306946,0.7284911870956421
1728935222,273415105,0.0016544987447559834,0.03900779411196709,0.09354530274868011,-0.007167167961597443,-0.011205346323549747,0.6821966767311096,0.7310476303100586
1728935222,283205849,0.00142413261346519,0.038883112370967865,0.09404410421848297,-0.007999779656529427,-0.009659736417233944,0.6807069778442383,0.7324484586715698
1728935222,293090881,0.0015835546655580401,0.03887676075100899,0.09390027076005936,-0.007679854519665241,-0.010232622735202312,0.6807910203933716,0.7323659658432007
1728935222,303033545,0.0015664895763620734,0.03900828957557678,0.09372688829898834,-0.006895449943840504,-0.00916657317429781,0.681171178817749,0.7320343255996704
1728935222,313065473,0.0021081825252622366,0.03900321200489998,0.09323792159557343,-0.0033130566589534283,-0.01670929230749607,0.6854760646820068,0.7278958559036255
1728935222,323665159,0.002086943481117487,0.03906477615237236,0.09315501898527145,-0.00429881364107132,-0.01613638736307621,0.6857186555862427,0.7276750206947327
1728935222,332860063,0.0020373729057610035,0.03897872194647789,0.09332568198442459,-0.003708304837346077,-0.01537653710693121,0.6848878264427185,0.7284767627716064
1728935222,344365927,0.0014743460342288017,0.03897489979863167,0.09374748915433884,-0.00763905281201005,-0.01035956759005785,0.6814591884613037,0.7317429184913635
1728935222,353111379,0.0018134702695533633,0.03911611810326576,0.09362226724624634,-0.007418942637741566,-0.010707004927098751,0.6818299293518066,0.7313947677612305
1728935222,363416671,0.0019522011280059814,0.03891517594456673,0.09368053078651428,-0.005254831630736589,-0.01334984041750431,0.683009147644043,0.7302689552307129
1728935222,373229963,0.001627647434361279,0.038999300450086594,0.09357667714357376,-0.006112890318036079,-0.009791554883122444,0.6816163063049316,0.7316187620162964
1728935222,384779390,0.0017811644356697798,0.03895113244652748,0.09356846660375595,-0.005791104398667812,-0.014003545977175236,0.6835644245147705,0.7297328114509583
1728935222,393383361,0.002129030181095004,0.03909570351243019,0.09328529983758926,-0.004028750117868185,-0.016007771715521812,0.6854174137115479,0.7279633283615112
1728935222,403086781,0.002049655420705676,0.03898745775222778,0.0932203158736229,-0.00526276184245944,-0.016022495925426483,0.6852008700370789,0.7281589508056641
1728935222,412872490,0.0015763388946652412,0.03901853784918785,0.0938764363527298,-0.008149460889399052,-0.008771345019340515,0.6805598735809326,0.7325946092605591
1728935222,423093416,0.0020975160878151655,0.039022576063871384,0.09334567934274673,-0.004431388806551695,-0.014968957751989365,0.6846219897270203,0.7287311553955078
1728935222,433186933,0.002124553080648184,0.039163436740636826,0.09319532662630081,-0.004270418547093868,-0.014449021779000759,0.6849756240844727,0.7284101247787476
1728935222,442883593,0.00201787194237113,0.039026834070682526,0.09323780238628387,-0.00465873209759593,-0.01681184209883213,0.6853030920028687,0.7280490398406982
1728935222,453039784,0.0017023240216076374,0.03905033692717552,0.09362038969993591,-0.00673168059438467,-0.010427850298583508,0.6820079684257507,0.731239378452301
1728935222,462806102,0.0021988949738442898,0.03907645493745804,0.09322147816419601,-0.00504401046782732,-0.014733596704900265,0.6845890879631042,0.7287628054618835
